Row Labels,Count of skills
aws,1
azure,1
chef,1
crystal,1
databricks,1
flow,1
gitlab,1
go,1
hadoop,1
jupyter,1
looker,1
numpy,1
oracle,1
power bi,1
powerpoint,1
pyspark,1
snowflake,1
pandas,2
r,2
excel,3
python,5
sql,5
tableau,5
